month_index,predicted_spending_czk,risk
67,34173.533100995955,HIGH
68,34192.329862690014,HIGH
69,34211.12662438407,HIGH
70,34229.92338607813,HIGH
71,34248.72014777219,HIGH
72,34267.516909466256,HIGH
